RAM (GB),GPU Score,Storage Score,Quality,Overpriced
32,1.0,1,9.899999999999999,0
4,1.0,1,1.5,1
16,0.5,1,4.999999999999999,0
16,0.7,1,5.039999999999999,1
64,0.7,1,19.44,0
64,1.0,1,19.5,0
4,1.0,1,1.5,1
32,0.7,1,9.84,0
64,1.0,1,19.5,0
4,0.7,1,1.44,1
64,0.7,1,19.44,1
64,1.0,0,19.4,0
4,1.0,1,1.5,1
8,1.0,0,2.6,1
8,1.0,0,2.6,1
4,1.0,1,1.5,1
16,0.7,1,5.039999999999999,1
32,0.7,0,9.74,0
64,1.0,1,19.5,0
16,1.0,1,5.1,1
4,1.0,0,1.4,1
4,1.0,1,1.5,1
64,0.7,1,19.44,0
64,0.7,1,19.44,1
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,1
16,1.0,1,5.1,1
8,1.0,1,2.7,1
8,0.5,1,2.6,1
16,0.7,1,5.039999999999999,1
16,1.0,1,5.1,0
16,0.7,1,5.039999999999999,0
32,1.0,1,9.899999999999999,1
64,1.0,0,19.4,0
16,0.7,1,5.039999999999999,1
64,1.0,0,19.4,0
8,1.0,0,2.6,1
8,1.0,1,2.7,1
4,0.7,1,1.44,1
16,0.5,1,4.999999999999999,1
16,1.0,1,5.1,1
64,1.0,1,19.5,0
32,1.0,1,9.899999999999999,0
16,1.0,1,5.1,1
64,1.0,1,19.5,0
16,0.7,1,5.039999999999999,1
16,0.7,1,5.039999999999999,1
32,1.0,1,9.899999999999999,1
8,0.7,0,2.54,1
32,1.0,1,9.899999999999999,0
64,1.0,1,19.5,1
16,0.7,1,5.039999999999999,1
32,0.7,0,9.74,0
64,1.0,1,19.5,0
16,0.7,1,5.039999999999999,1
32,0.7,0,9.74,1
64,1.0,1,19.5,0
64,1.0,1,19.5,0
4,1.0,1,1.5,1
16,1.0,1,5.1,1
4,1.0,0,1.4,1
32,0.7,1,9.84,0
16,0.7,1,5.039999999999999,1
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,1
16,1.0,1,5.1,1
4,1.0,1,1.5,1
4,1.0,1,1.5,1
16,0.5,1,4.999999999999999,1
8,1.0,1,2.7,1
32,0.7,1,9.84,0
4,1.0,1,1.5,1
64,0.5,1,19.400000000000002,0
4,1.0,1,1.5,1
64,1.0,1,19.5,1
64,1.0,0,19.4,0
8,1.0,1,2.7,1
16,0.5,1,4.999999999999999,0
32,0.5,1,9.799999999999999,0
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
64,1.0,1,19.5,1
4,0.5,1,1.4000000000000001,1
4,0.7,0,1.3399999999999999,1
64,1.0,0,19.4,0
4,0.7,1,1.44,1
8,0.7,0,2.54,1
32,0.7,1,9.84,0
16,1.0,1,5.1,1
32,1.0,1,9.899999999999999,0
64,1.0,0,19.4,0
4,1.0,1,1.5,1
32,0.7,1,9.84,0
64,0.5,0,19.3,0
32,1.0,1,9.899999999999999,0
64,0.7,1,19.44,0
4,1.0,1,1.5,1
16,1.0,1,5.1,0
8,0.7,1,2.64,1
32,0.7,1,9.84,1
4,0.7,1,1.44,1
16,0.5,1,4.999999999999999,0
8,0.5,1,2.6,1
16,1.0,1,5.1,1
4,0.7,1,1.44,1
32,1.0,1,9.899999999999999,0
32,1.0,1,9.899999999999999,0
8,0.5,1,2.6,1
32,1.0,1,9.899999999999999,0
32,1.0,1,9.899999999999999,0
8,0.7,1,2.64,1
16,1.0,1,5.1,1
32,0.7,1,9.84,0
4,1.0,1,1.5,1
32,0.7,0,9.74,0
4,0.5,1,1.4000000000000001,1
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
64,0.5,1,19.400000000000002,0
16,1.0,1,5.1,0
64,1.0,1,19.5,0
16,0.5,1,4.999999999999999,0
64,1.0,1,19.5,1
32,1.0,1,9.899999999999999,0
32,1.0,1,9.899999999999999,0
32,1.0,0,9.799999999999999,0
16,0.5,1,4.999999999999999,1
4,0.7,1,1.44,1
4,0.7,0,1.3399999999999999,1
32,0.7,1,9.84,0
8,1.0,0,2.6,1
64,0.7,1,19.44,0
16,0.5,0,4.8999999999999995,0
8,1.0,1,2.7,1
4,0.7,1,1.44,1
32,1.0,0,9.799999999999999,0
64,1.0,1,19.5,0
4,1.0,1,1.5,1
64,1.0,1,19.5,0
4,1.0,0,1.4,1
32,1.0,1,9.899999999999999,0
32,1.0,1,9.899999999999999,0
64,1.0,0,19.4,0
64,1.0,1,19.5,0
32,1.0,1,9.899999999999999,0
32,0.7,0,9.74,1
16,1.0,0,5.0,1
16,1.0,0,5.0,0
64,1.0,1,19.5,0
16,1.0,1,5.1,0
4,1.0,1,1.5,1
16,1.0,1,5.1,1
64,1.0,1,19.5,0
8,1.0,1,2.7,1
4,0.7,1,1.44,1
4,1.0,1,1.5,1
8,1.0,1,2.7,1
64,1.0,0,19.4,0
16,1.0,1,5.1,0
64,1.0,1,19.5,0
8,1.0,1,2.7,1
4,1.0,1,1.5,1
4,1.0,1,1.5,1
4,1.0,1,1.5,1
64,1.0,1,19.5,0
16,1.0,1,5.1,1
16,1.0,1,5.1,1
8,1.0,1,2.7,1
16,0.7,1,5.039999999999999,1
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,1
32,0.7,1,9.84,1
8,1.0,1,2.7,1
64,1.0,1,19.5,0
64,1.0,1,19.5,1
64,0.7,1,19.44,0
32,1.0,1,9.899999999999999,0
16,0.7,1,5.039999999999999,1
8,0.5,1,2.6,0
8,1.0,1,2.7,1
32,0.7,1,9.84,1
64,1.0,1,19.5,0
4,0.7,1,1.44,1
64,1.0,1,19.5,0
8,1.0,1,2.7,1
16,0.5,1,4.999999999999999,1
32,1.0,1,9.899999999999999,1
4,1.0,1,1.5,1
64,0.7,1,19.44,0
4,1.0,1,1.5,1
4,0.7,1,1.44,1
8,0.7,1,2.64,1
64,1.0,1,19.5,0
64,0.7,1,19.44,0
4,0.5,1,1.4000000000000001,1
64,1.0,1,19.5,0
16,1.0,1,5.1,1
8,1.0,1,2.7,1
32,0.7,1,9.84,0
64,1.0,1,19.5,0
8,1.0,0,2.6,1
8,1.0,1,2.7,1
8,0.7,1,2.64,1
8,1.0,1,2.7,1
4,0.7,1,1.44,1
4,0.5,1,1.4000000000000001,1
4,1.0,1,1.5,1
16,1.0,0,5.0,1
32,1.0,1,9.899999999999999,0
4,1.0,1,1.5,1
4,0.5,0,1.3,1
4,1.0,0,1.4,1
8,0.7,1,2.64,1
8,1.0,1,2.7,1
16,1.0,1,5.1,0
64,1.0,1,19.5,0
32,0.5,1,9.799999999999999,1
32,1.0,1,9.899999999999999,1
64,0.7,1,19.44,0
16,0.5,1,4.999999999999999,0
64,1.0,1,19.5,0
16,1.0,0,5.0,0
4,0.7,1,1.44,1
4,1.0,0,1.4,1
32,0.5,1,9.799999999999999,0
64,0.7,1,19.44,0
4,0.5,1,1.4000000000000001,1
16,1.0,1,5.1,1
16,1.0,1,5.1,1
8,0.7,1,2.64,1
64,1.0,0,19.4,0
64,0.7,1,19.44,0
16,1.0,1,5.1,1
64,1.0,0,19.4,0
64,0.7,1,19.44,0
4,0.5,1,1.4000000000000001,1
64,1.0,1,19.5,0
4,0.7,0,1.3399999999999999,1
32,0.7,1,9.84,0
8,0.7,1,2.64,1
8,0.7,1,2.64,1
32,1.0,1,9.899999999999999,1
64,1.0,1,19.5,0
8,1.0,1,2.7,1
64,1.0,1,19.5,0
8,0.7,1,2.64,1
32,0.5,0,9.7,0
32,1.0,1,9.899999999999999,1
64,0.7,1,19.44,0
64,1.0,1,19.5,1
8,0.7,1,2.64,1
8,0.7,1,2.64,1
32,0.7,0,9.74,0
16,1.0,0,5.0,1
64,0.5,1,19.400000000000002,0
8,1.0,0,2.6,0
8,0.5,1,2.6,1
4,0.5,0,1.3,1
8,0.7,1,2.64,1
32,1.0,1,9.899999999999999,0
4,1.0,1,1.5,1
8,1.0,1,2.7,1
32,0.7,1,9.84,1
32,0.7,1,9.84,1
4,1.0,1,1.5,1
64,1.0,0,19.4,1
16,1.0,0,5.0,0
16,1.0,0,5.0,1
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,0
32,0.7,0,9.74,0
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,0
32,0.7,1,9.84,0
32,0.7,1,9.84,1
32,0.7,1,9.84,0
64,0.7,1,19.44,0
16,0.5,1,4.999999999999999,1
64,1.0,1,19.5,0
32,1.0,1,9.899999999999999,0
4,0.7,1,1.44,1
64,1.0,1,19.5,0
16,1.0,1,5.1,0
64,1.0,1,19.5,0
8,0.7,1,2.64,1
8,1.0,1,2.7,1
64,1.0,1,19.5,0
64,1.0,1,19.5,0
64,0.7,1,19.44,0
16,1.0,1,5.1,1
64,0.7,1,19.44,0
8,1.0,1,2.7,1
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,1
64,1.0,1,19.5,0
64,1.0,0,19.4,0
16,0.7,1,5.039999999999999,1
4,0.5,1,1.4000000000000001,1
64,0.7,1,19.44,0
32,1.0,1,9.899999999999999,0
32,1.0,0,9.799999999999999,0
16,0.5,1,4.999999999999999,0
4,0.7,1,1.44,1
4,0.5,1,1.4000000000000001,1
64,1.0,1,19.5,0
4,1.0,1,1.5,1
4,0.5,1,1.4000000000000001,1
8,1.0,1,2.7,1
8,1.0,1,2.7,1
32,0.7,1,9.84,1
8,1.0,1,2.7,1
8,1.0,0,2.6,1
4,1.0,1,1.5,1
64,1.0,1,19.5,0
64,0.7,1,19.44,0
4,0.7,1,1.44,1
8,1.0,1,2.7,1
8,1.0,1,2.7,1
32,0.7,0,9.74,0
8,0.5,1,2.6,1
64,0.5,1,19.400000000000002,0
8,1.0,0,2.6,1
32,1.0,1,9.899999999999999,0
16,1.0,1,5.1,1
32,0.5,1,9.799999999999999,0
4,0.7,1,1.44,1
64,1.0,0,19.4,0
32,1.0,1,9.899999999999999,0
64,1.0,1,19.5,0
32,1.0,0,9.799999999999999,1
8,1.0,1,2.7,1
16,0.5,1,4.999999999999999,0
16,0.5,1,4.999999999999999,1
16,0.7,0,4.9399999999999995,1
16,0.5,1,4.999999999999999,1
8,1.0,1,2.7,1
64,1.0,1,19.5,0
32,0.5,1,9.799999999999999,0
16,0.5,1,4.999999999999999,0
64,1.0,1,19.5,0
32,0.7,1,9.84,0
64,0.5,1,19.400000000000002,0
16,0.7,1,5.039999999999999,0
8,1.0,1,2.7,1
32,1.0,0,9.799999999999999,0
64,1.0,1,19.5,0
32,1.0,1,9.899999999999999,0
32,0.7,0,9.74,0
4,1.0,0,1.4,1
4,1.0,1,1.5,1
32,0.5,1,9.799999999999999,0
8,1.0,1,2.7,1
32,0.7,1,9.84,0
16,1.0,0,5.0,1
32,1.0,1,9.899999999999999,1
4,1.0,1,1.5,1
4,0.7,1,1.44,1
32,1.0,0,9.799999999999999,0
16,1.0,1,5.1,1
4,1.0,1,1.5,1
16,1.0,1,5.1,1
64,0.5,1,19.400000000000002,0
8,0.7,1,2.64,1
32,1.0,1,9.899999999999999,0
4,0.5,1,1.4000000000000001,1
64,0.5,1,19.400000000000002,0
8,1.0,1,2.7,0
8,0.7,1,2.64,1
8,1.0,1,2.7,1
4,1.0,1,1.5,1
16,1.0,1,5.1,1
32,1.0,1,9.899999999999999,1
8,1.0,0,2.6,1
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,0
64,0.7,1,19.44,0
64,1.0,1,19.5,0
64,0.7,1,19.44,0
4,1.0,1,1.5,1
4,1.0,1,1.5,1
8,1.0,0,2.6,0
16,0.5,0,4.8999999999999995,0
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
64,1.0,1,19.5,0
16,0.7,1,5.039999999999999,1
32,0.7,1,9.84,0
4,1.0,0,1.4,1
4,1.0,1,1.5,1
64,0.7,1,19.44,0
32,1.0,0,9.799999999999999,0
64,1.0,1,19.5,1
64,0.7,0,19.34,0
32,1.0,1,9.899999999999999,0
4,0.7,1,1.44,1
64,0.7,1,19.44,0
4,1.0,1,1.5,1
64,0.5,1,19.400000000000002,0
4,1.0,1,1.5,1
16,1.0,1,5.1,1
32,0.7,1,9.84,1
64,1.0,1,19.5,0
32,1.0,1,9.899999999999999,1
64,1.0,1,19.5,0
8,0.7,1,2.64,1
64,0.7,1,19.44,0
4,0.7,0,1.3399999999999999,1
64,1.0,0,19.4,0
64,1.0,1,19.5,0
32,0.5,0,9.7,0
4,1.0,1,1.5,1
64,1.0,0,19.4,0
16,1.0,1,5.1,1
4,0.7,1,1.44,1
8,0.5,1,2.6,1
8,0.5,1,2.6,1
16,1.0,1,5.1,1
16,0.5,1,4.999999999999999,1
64,1.0,1,19.5,0
4,0.5,1,1.4000000000000001,1
64,1.0,1,19.5,0
64,0.7,1,19.44,0
32,0.7,1,9.84,1
16,1.0,1,5.1,0
16,1.0,1,5.1,0
8,1.0,1,2.7,1
16,1.0,1,5.1,1
8,0.5,1,2.6,1
64,1.0,1,19.5,0
8,0.7,1,2.64,1
8,0.7,1,2.64,1
16,1.0,1,5.1,1
8,0.7,0,2.54,1
32,0.7,1,9.84,1
4,0.5,1,1.4000000000000001,1
64,0.7,0,19.34,0
16,0.5,1,4.999999999999999,0
32,1.0,1,9.899999999999999,0
8,0.7,1,2.64,1
4,1.0,0,1.4,1
16,0.5,1,4.999999999999999,1
16,1.0,1,5.1,1
64,0.5,0,19.3,0
64,0.7,1,19.44,0
16,0.7,1,5.039999999999999,1
64,0.7,1,19.44,1
8,0.5,1,2.6,1
4,1.0,1,1.5,1
4,1.0,1,1.5,1
64,0.7,0,19.34,0
64,0.5,1,19.400000000000002,1
64,0.7,1,19.44,0
4,0.5,1,1.4000000000000001,1
64,1.0,1,19.5,0
16,1.0,1,5.1,1
8,1.0,1,2.7,1
4,1.0,0,1.4,1
64,0.7,1,19.44,0
32,1.0,1,9.899999999999999,0
64,1.0,1,19.5,0
64,0.5,1,19.400000000000002,0
16,1.0,1,5.1,0
32,1.0,1,9.899999999999999,1
32,1.0,1,9.899999999999999,0
16,0.7,1,5.039999999999999,0
16,1.0,1,5.1,1
8,1.0,1,2.7,1
4,1.0,1,1.5,1
4,1.0,1,1.5,1
32,1.0,0,9.799999999999999,1
64,0.5,1,19.400000000000002,0
16,0.7,1,5.039999999999999,0
16,1.0,1,5.1,1
64,1.0,0,19.4,0
64,1.0,1,19.5,0
16,1.0,1,5.1,0
8,0.7,1,2.64,1
32,0.5,1,9.799999999999999,0
32,1.0,1,9.899999999999999,1
16,1.0,1,5.1,1
32,1.0,1,9.899999999999999,1
16,1.0,1,5.1,1
32,1.0,1,9.899999999999999,0
16,0.5,0,4.8999999999999995,1
8,1.0,1,2.7,1
8,0.7,1,2.64,1
32,1.0,0,9.799999999999999,0
32,0.7,1,9.84,1
8,1.0,1,2.7,1
4,1.0,1,1.5,1
64,1.0,1,19.5,0
64,1.0,0,19.4,0
8,1.0,0,2.6,1
8,1.0,1,2.7,1
8,1.0,1,2.7,1
16,0.5,1,4.999999999999999,0
4,1.0,1,1.5,1
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
64,0.7,1,19.44,0
64,1.0,1,19.5,0
4,1.0,1,1.5,1
8,1.0,1,2.7,1
64,0.7,1,19.44,0
8,0.5,0,2.5,1
64,1.0,1,19.5,0
32,0.5,0,9.7,0
16,0.7,1,5.039999999999999,1
8,0.7,1,2.64,1
32,1.0,1,9.899999999999999,0
64,1.0,0,19.4,0
8,0.5,1,2.6,1
16,1.0,0,5.0,0
64,1.0,1,19.5,0
32,0.5,1,9.799999999999999,0
16,1.0,1,5.1,1
32,1.0,1,9.899999999999999,0
8,1.0,0,2.6,1
4,0.7,1,1.44,1
16,0.5,0,4.8999999999999995,1
4,1.0,1,1.5,1
32,0.7,1,9.84,1
64,0.7,1,19.44,0
32,0.7,0,9.74,0
32,1.0,1,9.899999999999999,0
16,0.5,0,4.8999999999999995,0
32,0.7,1,9.84,0
4,1.0,0,1.4,1
32,0.7,1,9.84,0
16,1.0,0,5.0,1
32,0.7,1,9.84,0
4,0.5,1,1.4000000000000001,1
4,0.7,0,1.3399999999999999,1
32,1.0,1,9.899999999999999,0
16,0.5,1,4.999999999999999,0
64,0.5,1,19.400000000000002,0
64,1.0,1,19.5,0
16,0.7,0,4.9399999999999995,1
8,0.5,0,2.5,1
8,0.7,1,2.64,1
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
64,0.7,1,19.44,0
4,1.0,1,1.5,1
4,1.0,1,1.5,1
8,0.7,1,2.64,1
32,0.5,1,9.799999999999999,0
32,0.7,1,9.84,0
16,1.0,1,5.1,1
8,1.0,0,2.6,0
16,0.7,1,5.039999999999999,1
8,1.0,0,2.6,1
16,0.7,1,5.039999999999999,1
32,1.0,1,9.899999999999999,0
4,1.0,1,1.5,1
16,1.0,1,5.1,0
16,0.5,1,4.999999999999999,0
16,1.0,1,5.1,1
32,0.5,1,9.799999999999999,0
4,0.7,1,1.44,1
64,1.0,0,19.4,0
8,1.0,0,2.6,1
32,0.7,1,9.84,0
8,0.7,1,2.64,1
32,0.7,1,9.84,0
8,0.5,1,2.6,1
4,0.7,1,1.44,1
32,0.7,1,9.84,1
16,1.0,1,5.1,0
64,1.0,1,19.5,0
4,1.0,1,1.5,1
8,0.7,1,2.64,1
8,1.0,1,2.7,1
4,1.0,1,1.5,1
32,1.0,1,9.899999999999999,0
4,0.7,1,1.44,1
64,1.0,1,19.5,1
64,0.5,1,19.400000000000002,0
4,1.0,0,1.4,1
8,0.5,1,2.6,1
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,1
32,1.0,1,9.899999999999999,1
4,1.0,1,1.5,1
32,1.0,1,9.899999999999999,1
16,1.0,1,5.1,1
4,1.0,1,1.5,1
16,1.0,0,5.0,0
4,1.0,1,1.5,1
4,1.0,1,1.5,1
32,0.7,1,9.84,0
16,1.0,1,5.1,1
4,1.0,1,1.5,1
32,0.5,0,9.7,0
32,0.7,0,9.74,1
4,1.0,0,1.4,1
4,0.5,1,1.4000000000000001,1
64,1.0,1,19.5,0
16,1.0,1,5.1,0
8,1.0,1,2.7,1
4,1.0,1,1.5,1
16,1.0,1,5.1,1
32,1.0,1,9.899999999999999,0
16,0.7,1,5.039999999999999,1
8,1.0,1,2.7,1
8,1.0,1,2.7,1
8,1.0,0,2.6,1
32,0.5,1,9.799999999999999,0
16,0.7,1,5.039999999999999,1
8,1.0,1,2.7,1
4,0.7,0,1.3399999999999999,1
4,1.0,1,1.5,1
32,0.7,0,9.74,1
4,1.0,1,1.5,1
8,1.0,1,2.7,1
16,1.0,1,5.1,1
8,1.0,1,2.7,1
16,1.0,1,5.1,1
8,1.0,1,2.7,1
64,1.0,1,19.5,0
16,0.7,0,4.9399999999999995,1
4,1.0,1,1.5,1
16,1.0,0,5.0,1
4,0.7,1,1.44,1
32,1.0,1,9.899999999999999,0
64,1.0,1,19.5,0
16,0.7,1,5.039999999999999,1
16,0.7,0,4.9399999999999995,0
8,1.0,1,2.7,1
4,1.0,1,1.5,1
16,1.0,1,5.1,0
32,1.0,0,9.799999999999999,1
8,0.7,1,2.64,1
64,1.0,1,19.5,0
16,1.0,1,5.1,1
16,1.0,1,5.1,1
64,1.0,1,19.5,0
64,1.0,1,19.5,1
4,0.5,1,1.4000000000000001,1
16,0.7,1,5.039999999999999,1
64,1.0,0,19.4,0
32,1.0,1,9.899999999999999,1
4,0.7,1,1.44,1
16,0.7,1,5.039999999999999,1
8,1.0,1,2.7,1
4,0.5,0,1.3,1
32,1.0,0,9.799999999999999,0
4,0.5,1,1.4000000000000001,1
8,1.0,1,2.7,1
4,1.0,1,1.5,1
32,0.7,1,9.84,0
4,1.0,1,1.5,1
16,1.0,1,5.1,1
4,0.5,1,1.4000000000000001,1
64,1.0,1,19.5,1
16,0.7,1,5.039999999999999,0
4,1.0,1,1.5,1
64,0.5,0,19.3,0
4,1.0,1,1.5,1
32,0.5,1,9.799999999999999,0
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
64,1.0,1,19.5,0
16,1.0,1,5.1,1
32,1.0,1,9.899999999999999,0
32,0.7,0,9.74,0
64,0.7,1,19.44,0
64,1.0,1,19.5,0
64,1.0,1,19.5,1
32,0.7,1,9.84,1
8,1.0,1,2.7,1
16,1.0,1,5.1,1
16,0.7,1,5.039999999999999,1
64,0.7,1,19.44,0
32,1.0,1,9.899999999999999,1
4,1.0,0,1.4,1
8,0.5,1,2.6,0
16,1.0,1,5.1,1
16,0.7,1,5.039999999999999,1
32,0.5,1,9.799999999999999,0
32,1.0,1,9.899999999999999,0
32,0.5,1,9.799999999999999,0
64,1.0,1,19.5,0
4,1.0,0,1.4,1
32,0.7,1,9.84,1
32,1.0,1,9.899999999999999,0
4,0.7,1,1.44,1
16,1.0,1,5.1,1
16,1.0,1,5.1,1
64,0.7,1,19.44,0
8,1.0,1,2.7,1
32,0.5,0,9.7,0
8,1.0,1,2.7,1
16,0.5,1,4.999999999999999,0
64,1.0,1,19.5,0
64,0.5,1,19.400000000000002,0
16,1.0,1,5.1,0
64,1.0,1,19.5,0
16,0.7,1,5.039999999999999,1
8,0.7,1,2.64,1
32,0.7,1,9.84,0
16,1.0,1,5.1,1
8,1.0,1,2.7,1
4,1.0,1,1.5,1
8,1.0,1,2.7,1
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
4,1.0,0,1.4,1
32,1.0,1,9.899999999999999,1
8,1.0,1,2.7,1
4,1.0,0,1.4,1
16,1.0,1,5.1,0
16,1.0,1,5.1,0
64,0.7,1,19.44,0
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,0
64,1.0,1,19.5,0
32,1.0,1,9.899999999999999,1
64,0.7,1,19.44,0
32,1.0,1,9.899999999999999,1
8,0.7,1,2.64,1
16,1.0,1,5.1,0
64,0.7,1,19.44,0
16,0.7,1,5.039999999999999,1
8,1.0,1,2.7,1
16,0.7,0,4.9399999999999995,0
32,0.7,1,9.84,0
64,0.7,1,19.44,0
8,0.7,1,2.64,1
16,1.0,1,5.1,1
32,0.7,1,9.84,1
64,1.0,1,19.5,0
64,1.0,1,19.5,0
32,1.0,1,9.899999999999999,0
8,0.7,1,2.64,1
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
8,0.7,1,2.64,1
4,1.0,1,1.5,1
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
64,1.0,1,19.5,0
4,1.0,1,1.5,1
8,0.7,1,2.64,1
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,0
32,0.5,1,9.799999999999999,0
8,0.7,1,2.64,1
16,1.0,1,5.1,1
4,1.0,1,1.5,1
64,1.0,1,19.5,0
16,1.0,1,5.1,1
8,1.0,0,2.6,1
16,0.7,1,5.039999999999999,1
64,0.7,1,19.44,0
4,0.7,1,1.44,1
32,0.5,1,9.799999999999999,0
32,1.0,1,9.899999999999999,0
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
4,1.0,1,1.5,1
32,0.7,1,9.84,1
8,0.7,1,2.64,1
32,1.0,1,9.899999999999999,1
8,1.0,1,2.7,1
16,1.0,1,5.1,1
32,1.0,1,9.899999999999999,0
32,0.7,0,9.74,0
4,1.0,1,1.5,1
16,0.5,1,4.999999999999999,0
64,1.0,1,19.5,0
64,0.5,1,19.400000000000002,0
64,1.0,1,19.5,1
32,0.7,1,9.84,0
4,0.5,1,1.4000000000000001,1
64,0.5,1,19.400000000000002,0
4,0.5,1,1.4000000000000001,1
8,0.7,0,2.54,1
4,1.0,0,1.4,1
8,0.5,0,2.5,0
32,0.7,1,9.84,1
4,1.0,0,1.4,1
64,1.0,1,19.5,0
16,1.0,1,5.1,0
64,1.0,1,19.5,0
8,1.0,1,2.7,1
64,0.5,0,19.3,0
16,0.7,1,5.039999999999999,1
4,0.7,0,1.3399999999999999,1
64,1.0,1,19.5,0
8,1.0,1,2.7,1
4,1.0,1,1.5,1
64,1.0,1,19.5,0
4,1.0,1,1.5,1
4,1.0,1,1.5,1
4,1.0,0,1.4,1
8,1.0,1,2.7,1
8,1.0,1,2.7,0
16,1.0,0,5.0,0
64,0.5,1,19.400000000000002,0
32,1.0,1,9.899999999999999,0
32,1.0,1,9.899999999999999,0
4,1.0,1,1.5,1
64,0.5,1,19.400000000000002,0
32,1.0,0,9.799999999999999,0
64,1.0,0,19.4,0
16,1.0,1,5.1,1
64,0.7,1,19.44,0
64,0.7,1,19.44,1
32,0.7,1,9.84,1
8,0.5,1,2.6,1
64,1.0,1,19.5,0
32,1.0,0,9.799999999999999,0
16,0.7,1,5.039999999999999,1
8,0.7,0,2.54,1
64,1.0,1,19.5,0
64,1.0,1,19.5,0
8,1.0,0,2.6,1
16,1.0,0,5.0,0
64,1.0,0,19.4,0
4,0.7,1,1.44,1
32,0.7,1,9.84,0
4,0.7,1,1.44,1
8,0.7,1,2.64,1
16,0.7,1,5.039999999999999,1
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
64,0.5,1,19.400000000000002,0
8,0.7,1,2.64,1
64,0.7,1,19.44,0
4,0.5,1,1.4000000000000001,1
16,1.0,1,5.1,1
64,1.0,1,19.5,0
4,0.5,0,1.3,1
16,1.0,0,5.0,1
4,1.0,1,1.5,1
64,1.0,1,19.5,0
8,0.5,1,2.6,1
4,1.0,1,1.5,1
32,0.5,1,9.799999999999999,1
16,1.0,1,5.1,1
32,1.0,1,9.899999999999999,0
8,1.0,1,2.7,1
16,0.7,1,5.039999999999999,1
32,1.0,1,9.899999999999999,1
64,1.0,0,19.4,0
64,1.0,1,19.5,0
16,0.7,1,5.039999999999999,1
4,0.7,1,1.44,1
8,1.0,0,2.6,1
32,0.5,1,9.799999999999999,1
4,1.0,1,1.5,1
32,0.7,1,9.84,0
8,1.0,1,2.7,1
8,0.7,1,2.64,1
4,1.0,1,1.5,1
16,0.7,1,5.039999999999999,1
32,1.0,1,9.899999999999999,0
16,0.5,1,4.999999999999999,1
8,1.0,1,2.7,1
8,1.0,1,2.7,1
64,1.0,1,19.5,0
4,0.5,1,1.4000000000000001,1
4,0.7,1,1.44,1
4,1.0,0,1.4,1
8,0.5,0,2.5,1
16,1.0,1,5.1,0
8,1.0,1,2.7,1
4,1.0,1,1.5,1
32,0.7,0,9.74,0
4,1.0,1,1.5,1
4,1.0,0,1.4,1
16,0.7,1,5.039999999999999,0
32,1.0,1,9.899999999999999,1
8,0.7,1,2.64,1
32,1.0,1,9.899999999999999,0
16,1.0,1,5.1,0
64,0.7,1,19.44,0
64,1.0,1,19.5,0
8,1.0,1,2.7,1
4,1.0,1,1.5,1
16,1.0,1,5.1,0
16,1.0,1,5.1,1
8,0.7,1,2.64,1
8,1.0,1,2.7,1
8,0.7,1,2.64,1
32,1.0,1,9.899999999999999,1
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,0
32,0.7,0,9.74,1
64,0.7,1,19.44,0
8,1.0,1,2.7,1
64,0.7,1,19.44,0
16,0.7,1,5.039999999999999,0
8,0.7,1,2.64,1
16,1.0,1,5.1,0
4,1.0,1,1.5,1
16,0.5,1,4.999999999999999,1
4,1.0,1,1.5,1
16,1.0,1,5.1,1
32,1.0,1,9.899999999999999,0
32,0.7,1,9.84,1
64,1.0,1,19.5,0
64,0.7,0,19.34,0
64,0.5,1,19.400000000000002,0
4,0.7,1,1.44,1
64,0.5,1,19.400000000000002,0
8,1.0,1,2.7,1
32,1.0,1,9.899999999999999,0
64,1.0,1,19.5,0
64,1.0,1,19.5,0
64,0.7,1,19.44,0
16,1.0,0,5.0,0
32,1.0,1,9.899999999999999,0
16,0.7,1,5.039999999999999,1
